\     ,標準答案  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,答對題數,得分  ,符號說明,答案正確:-,答案錯誤:呈現學生答案,未作答:=
座號  ,題號      ,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,        ,      ,複選時代碼對照,A:A,B:B,C:C
test_p0-6.png號,學生答案  , Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, P, P, P, P,-1      ,-1    ,D:D,F:AB,G:AC,H:AD
test_p1-11.png號,學生答案  , C, D, C, A, B, C, C, A, B, C, B, B, C, A, B, C, D, B, D, A, C, C, B, A, D, B, B, B, B, A, D, B, A, B, C, C, D, C, B, A, A, D, C, A, B, D, D, B, D, C,-1      ,-1    ,J:BC,K:BD,M:CD,P:ABC
test_p10-56.png號,學生答案  , A, D, C, A, B, C, C, B, B, A, B, B, C, A, B, A, A, B, B, A, C, B, B, C, D, B, B, B, B, A, D, B, A, B, C, C, B, C, B, A, A, D, D, A, C, D, C, B, C, C,-1      ,-1    ,Q:ABD,S:ACD,V:BCD,Z:ABCD
test_p11-61.png號,學生答案  , C, B, C, A, B, C, C, C, B, C, B, D, C, A, B, A, A, B, C, A, A, A, B, A, D, B, B, B, D, D, D, B, A, B, C, C, C, C, B, A, C, D, A, A, D, D, D, B, C, C,-1      ,-1    
test_p21-111.png號,學生答案  , C, D, C, B, B, C, C, D, B, C, B, B, C, A, B, A, D, B, A, B, C, C, B, C, D, B, B, A, D, A, D, B, A, B, C, C, C, C, B, B, A, D, C, A, C, D, D, B, D, C,-1      ,-1    
test_p22-116.png號,學生答案  , C, D, C, A, C, C, B, C, C, C, B, C, A, A, B, A, D, B, D, A, D, B, B, C, D, B, B, A, D, A, D, B, A, C, C, C, C, C, B, A, A, D, C, A, C, D, D, C, C, C,-1      ,-1    
test_p23-121.png號,學生答案  , C, D, C, D, A, C, B, B, B, B, A, D, A, A, B, C, A, B, A, B, D, D, B, C, D, A, B, H, C, A, C, A, B, C, A, C, B, B, A, B, A, A, D, D, A, D, C, =, M, B,-1      ,-1    
test_p24-126.png號,學生答案  , C, D, C, C, B, A, D, D, B, C, B, A, A, A, B, C, A, D, C, A, B, C, B, C, D, B, B, B, A, A, B, D, A, B, C, A, B, B, B, B, D, D, D, A, C, C, C, B, D, D,-1      ,-1    
test_p25-131.png號,學生答案  , B, C, A, C, B, B, B, B, B, B, B, B, B, B, B, B, B, B, B, B, B, B, B, =, =, =, B, B, B, B, B, B, B, B, B, B, B, B, B, B, =, J, D, C, B, A, B, C, D, C,-1      ,-1    
test_p26-136.png號,學生答案  , C, D, C, A, B, C, C, G, B, C, B, B, C, A, B, A, D, B, A, A, C, A, B, A, D, B, A, A, B, A, A, D, A, D, C, A, B, B, B, A, C, D, A, A, C, A, D, C, D, B,-1      ,-1    
test_p27-141.png號,學生答案  , A, D, C, A, A, C, C, A, B, C, B, D, C, A, B, A, A, D, B, A, C, B, B, A, D, B, B, A, D, A, A, B, A, B, C, C, D, C, B, D, A, D, B, A, C, D, C, A, D, C,-1      ,-1    
test_p28-146.png號,學生答案  , A, B, C, A, B, C, C, C, B, D, D, A, C, A, B, A, B, B, D, A, C, B, A, A, D, B, B, A, A, A, D, B, A, B, C, C, B, D, B, A, A, D, D, A, C, D, D, B, D, C,-1      ,-1    
test_p29-151.png號,學生答案  , C, D, C, C, B, C, C, A, B, C, B, C, C, A, D, A, D, B, C, A, A, B, B, C, D, B, D, B, B, A, D, B, A, B, C, C, C, C, B, A, A, A, D, C, A, C, D, B, D, C,-1      ,-1    
test_p3-21.png號,學生答案  , Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z,-1      ,-1    
test_p30-156.png號,學生答案  , C, D, C, D, B, C, C, C, B, D, B, B, C, A, B, A, D, B, B, A, C, B, B, C, D, B, B, A, B, A, D, B, A, B, C, C, C, C, B, A, A, D, C, A, B, D, D, B, D, C,-1      ,-1    
test_p31-161.png號,學生答案  , B, D, C, C, B, A, C, A, B, A, A, C, C, A, B, C, B, B, D, B, A, D, B, A, D, B, B, D, B, D, D, B, A, B, C, C, C, C, B, A, A, D, B, A, C, D, D, C, C, C,-1      ,-1    
test_p32-166.png號,學生答案  , A, D, C, C, B, C, C, D, B, C, B, C, A, A, B, D, B, B, D, A, C, A, B, A, D, B, B, A, D, A, D, B, A, B, C, A, B, C, B, A, D, D, C, A, C, D, B, B, D, B,-1      ,-1    
test_p33-171.png號,學生答案  , C, D, C, C, B, D, C, A, B, C, B, A, C, A, B, C, D, D, A, B, C, D, D, C, D, =, =, =, =, =, =, =, =, =, =, =, =, =, =, =, =, =, =, =, =, =, =, =, =, =,-1      ,-1    
test_p34-176.png號,學生答案  , C, D, C, C, B, C, C, D, B, C, B, D, C, A, B, C, D, B, D, B, A, D, B, D, D, B, B, B, D, A, D, B, A, B, C, D, B, D, D, A, A, D, C, C, B, B, B, B, D, C,-1      ,-1    
test_p35-181.png號,學生答案  , A, D, C, A, B, C, C, D, B, D, B, D, C, A, B, A, C, B, D, B, D, B, C, C, D, B, B, B, C, A, D, B, A, B, C, C, C, C, B, A, A, D, D, A, C, C, D, B, D, H,-1      ,-1    
test_p36-186.png號,學生答案  , C, D, C, B, A, C, C, A, B, C, B, B, C, A, B, C, D, D, A, B, C, B, B, D, D, A, B, B, B, B, D, D, A, B, C, A, C, C, B, B, A, D, C, A, C, D, D, B, D, C,-1      ,-1    
test_p37-191.png號,學生答案  , A, D, C, A, B, C, C, A, B, C, B, C, C, A, B, A, B, C, A, A, D, D, B, D, D, B, B, A, B, A, A, F, A, B, C, C, C, B, B, B, B, D, C, A, C, D, C, B, D, C,-1      ,-1    
test_p38-196.png號,學生答案  , A, D, C, A, B, C, C, A, B, C, B, C, C, A, B, A, D, B, A, A, C, D, B, C, D, B, B, A, A, A, D, B, A, C, C, C, C, C, B, D, D, C, C, A, D, D, D, B, D, C,-1      ,-1    
test_p39-201.png號,學生答案  , C, D, C, A, B, A, C, A, B, C, B, B, A, C, B, A, B, B, C, A, C, K, D, D, =, B, B, A, B, A, C, D, A, B, C, A, C, C, B, A, A, D, B, A, A, D, C, A, B, A,-1      ,-1    
test_p4-26.png號,學生答案  , C, D, C, C, B, C, C, D, B, D, B, D, C, A, B, A, D, B, A, A, C, C, B, C, D, B, B, A, B, A, D, B, A, B, C, C, C, D, B, A, A, D, C, A, C, D, D, B, D, C,-1      ,-1    
test_p40-206.png號,學生答案  , A, D, C, C, B, C, C, A, B, C, B, B, C, A, B, A, D, B, C, A, C, A, B, A, D, B, B, B, B, A, D, D, A, B, C, C, D, C, B, A, A, D, C, A, A, D, D, B, D, C,-1      ,-1    
test_p41-211.png號,學生答案  , A, C, C, B, D, A, B, C, A, C, B, D, A, C, B, B, B, D, D, D, C, B, B, A, A, B, B, C, C, B, A, B, A, C, C, D, B, B, B, A, C, C, B, A, B, C, C, B, C, C,-1      ,-1    
test_p42-216.png號,學生答案  , C, D, C, D, B, A, C, C, B, C, B, C, C, A, B, A, D, B, D, A, A, B, B, C, C, C, A, A, B, A, A, B, A, A, A, A, C, C, B, A, A, D, C, A, A, A, C, C, B, C,-1      ,-1    
test_p43-221.png號,學生答案  , C, D, B, D, B, C, D, C, B, D, B, A, C, A, B, A, B, D, A, A, C, A, B, C, D, B, B, A, B, B, A, C, A, B, C, C, C, C, B, A, B, D, C, D, D, D, D, B, B, C,-1      ,-1    
test_p44-226.png號,學生答案  , C, B, C, C, B, C, C, C, B, D, B, B, C, A, B, A, D, B, D, A, C, B, B, C, D, B, B, B, B, A, D, B, A, B, C, C, C, B, A, B, A, A, C, A, D, A, C, D, C, C,-1      ,-1    
test_p45-231.png號,學生答案  , C, D, C, A, B, C, C, A, B, A, B, D, A, A, B, C, B, B, A, A, B, C, B, A, D, B, B, B, B, A, D, B, A, B, C, C, B, C, B, D, B, D, C, A, C, D, D, B, D, C,-1      ,-1    
test_p46-236.png號,學生答案  , C, D, C, C, B, C, C, D, B, B, B, C, C, A, B, A, D, B, C, A, C, D, B, A, D, D, B, C, A, A, D, B, A, B, C, C, C, C, B, A, A, D, C, A, C, C, C, A, D, C,-1      ,-1    
test_p5-31.png號,學生答案  , C, D, C, A, B, C, B, B, B, D, B, B, C, A, B, A, B, B, D, B, C, B, B, C, D, B, B, D, C, A, D, C, A, B, C, C, B, C, B, H, A, D, C, A, A, D, D, B, D, C,-1      ,-1    
test_p6-36.png號,學生答案  , C, D, C, D, A, C, =, D, B, C, B, C, A, A, B, A, D, B, D, A, C, B, B, C, D, B, B, A, B, A, D, =, =, =, C, =, C, C, C, A, A, C, D, B, D, A, D, C, B, C,-1      ,-1    
test_p7-41.png號,學生答案  , C, D, B, A, B, C, C, C, B, C, B, B, C, A, B, A, D, B, B, A, B, B, B, C, D, B, B, B, B, A, D, B, A, B, C, C, C, C, B, A, D, D, C, A, C, D, C, B, B, C,-1      ,-1    
test_p8-46.png號,學生答案  , A, D, C, A, B, A, B, D, B, B, B, B, C, A, B, C, D, B, D, A, C, B, B, C, D, B, B, A, B, A, B, D, A, B, C, A, D, D, B, A, B, D, C, A, B, C, C, B, D, C,-1      ,-1    
test_p9-51.png號,學生答案  , C, D, C, A, B, C, C, A, B, C, D, B, C, A, B, A, B, B, D, B, D, B, B, A, D, B, B, A, B, A, A, D, A, B, C, C, C, M, K, H, A, D, C, A, A, D, D, A, D, C,-1      ,-1    
\     ,答錯人數  ,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,平均    ,0.0   
      ,          ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,最高分  ,0     
      ,          ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,最低分  ,0     
