\     ,標準答案  , D, B, C, D, B, D, A, A, A, C, D, D, B, A, B, B, A, A, A, B, A, C, D, A, C, D, C, A, D, A, C, A, D, C, A, D, A, C, B, B, C, B, A, D, B, C, B, D, B, D,答對題數,得分  ,符號說明,答案正確:-,答案錯誤:呈現學生答案,未作答:=
座號  ,題號      ,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,        ,      ,複選時代碼對照,A:A,B:B,C:C
01  號,學生答案  , -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,50      ,100   ,D:D,F:AB,G:AC,H:AD
02  號,學生答案  , -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,50      ,100   ,J:BC,K:BD,M:CD,P:ABC
03  號,學生答案  , -, C, B, -, -, -, -, -, -, -, A, -, A, -, -, -, -, -, -, -, -, -, -, -, -, -, -, C, -, -, -, C, -, B, -, -, -, A, A, -, A, -, -, -, -, -, -, A, -, -,39      ,78    ,Q:ABD,S:ACD,V:BCD,Z:ABCD
04  號,學生答案  , -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, C, -, -, -, -, -, -, -, -, -, -, -,49      ,98    
15  號,學生答案  , -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, B, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, A, -, -, -, -, -, -, -, -, -, -, -, -,48      ,96    
16  號,學生答案  , -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,50      ,100   
17  號,學生答案  , -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, A, -, -, -,49      ,98    
18  號,學生答案  , -, A, -, -, -, -, -, -, -, D, -, -, -, -, -, -, -, -, -, -, -, -, -, -, D, -, -, -, -, -, -, -, -, B, -, -, -, A, -, -, -, -, -, -, -, -, -, -, C, -,44      ,88    
19  號,學生答案  , -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,50      ,100   
20  號,學生答案  , -, -, -, -, -, -, -, -, -, B, -, -, C, -, -, -, -, -, D, -, -, -, -, -, -, -, B, -, -, -, -, -, -, -, -, -, -, A, -, -, -, -, -, -, -, -, -, -, -, -,45      ,90    
21  號,學生答案  , -, D, -, -, -, -, B, -, -, -, C, -, -, -, -, C, B, -, -, -, -, A, -, -, A, -, B, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,42      ,84    
22  號,學生答案  , -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, C, -, -, -, -, -, -, -, -, -, -, -, -, -,49      ,98    
23  號,學生答案  , -, A, -, -, -, -, -, -, -, -, C, -, -, -, -, -, -, B, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, C, -, -, -, A, -, -, -, -, -, -, -, -, -,45      ,90    
24  號,學生答案  , -, -, -, -, -, -, -, B, -, -, C, -, -, B, -, C, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, B, -, -, C, D, C, -, -, -, -, -, -, -, D, -, D, -,40      ,80    
25  號,學生答案  , -, C, B, -, -, -, -, -, -, -, -, -, -, -, -, -, -, B, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, C, -, -, -, A, -, D, -, -, -, -, -, D, -,43      ,86    
26  號,學生答案  , -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, C, -, -, -, A, -, -, -, -, -, -, A, -, -,47      ,94    
27  號,學生答案  , -, A, -, B, -, -, C, B, -, -, B, -, A, B, A, D, B, -, -, C, B, B, C, -, D, -, A, B, C, B, -, C, A, B, -, -, B, -, A, -, A, -, -, -, A, B, D, -, D, C,20      ,40    
28.jpg號,學生答案  , -, -, D, -, -, -, -, -, -, -, -, -, -, B, -, -, B, -, -, -, -, -, -, -, -, -, A, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, C,45      ,90    
29  號,學生答案  , -, A, -, -, -, -, B, -, -, -, C, -, -, -, -, -, B, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, C, -, -, -, -, -, -, -, -, -, D, -, D, -,43      ,86    
30  號,學生答案  , -, -, -, -, -, -, B, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, A, -, -, -, -, -, -, -, -, -, -, C, -,47      ,94    
31  號,學生答案  , -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, B, -, A, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, A, -, -, C, -,46      ,92    
32  號,學生答案  , -, -, -, -, -, -, -, -, -, -, -, -, C, -, -, -, -, -, -, -, -, -, -, -, -, -, B, -, -, -, -, -, -, -, -, -, -, -, -, -, B, -, -, -, -, -, -, -, -, -,47      ,94    
33  號,學生答案  , -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, B, -, -, C, -, A, -, -, A, -, -, -, -, -, -, A, -, -,45      ,90    
34  號,學生答案  , -, -, -, -, -, -, B, -, -, -, C, -, -, B, -, -, D, B, -, -, -, -, -, -, D, -, A, -, -, -, -, -, -, -, -, -, -, -, C, -, -, A, -, -, -, -, -, -, -, -,41      ,82    
35  號,學生答案  , -, -, -, -, -, -, -, -, -, -, C, -, -, B, -, -, B, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, C, A, -, -, B, -, -, -, A, -, D, A, D, A,39      ,78    
36  號,學生答案  , -, -, -, -, -, -, -, -, -, -, C, -, -, B, -, -, -, -, -, -, -, -, -, -, -, -, -, B, -, -, -, -, A, -, -, C, -, -, C, -, D, -, -, -, -, -, -, A, -, -,42      ,84    
37  號,學生答案  , -, -, -, -, -, -, -, -, -, -, C, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, A, -, -, -, -, -, -, -, D, -,47      ,94    
38  號,學生答案  , -, -, -, -, -, -, -, -, -, -, -, -, -, B, -, -, B, B, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, A, -, -, -, -, -, -, -, -, -, -, C, -,45      ,90    
39  號,學生答案  , -, -, -, -, -, -, -, -, -, -, C, -, -, B, -, -, -, B, -, -, -, -, -, -, -, -, -, B, -, -, -, -, -, -, -, -, -, -, D, -, -, -, -, -, -, -, -, -, -, -,45      ,90    
40  號,學生答案  , -, A, -, -, -, B, -, -, -, -, C, -, -, -, -, C, D, -, -, -, -, -, -, -, A, -, -, -, -, -, -, -, -, A, -, -, -, A, C, -, -, -, -, -, -, -, -, -, -, -,41      ,82    
41  號,學生答案  , -, -, -, -, -, -, B, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, C, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,48      ,96    
42  號,學生答案  , -, -, B, -, -, -, -, B, B, -, -, -, C, B, -, C, B, C, -, -, -, D, -, -, A, -, -, C, -, =, -, -, -, -, -, -, B, A, C, -, A, -, -, -, -, -, D, A, C, -,31      ,62    
43  號,學生答案  , -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, D, -, -, -, -, A, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, D, A, D, -,45      ,90    
44  號,學生答案  , -, -, -, -, -, -, -, -, -, -, C, -, C, -, D, -, B, B, -, -, -, -, -, C, -, -, -, F, C, -, -, -, A, -, C, -, B, -, C, -, -, D, -, -, A, -, D, G, C, -,33      ,66    
45  號,學生答案  , -, C, -, -, -, -, D, -, -, -, C, -, C, -, -, -, -, -, -, -, -, -, -, -, A, -, A, C, A, C, -, -, -, -, -, -, B, A, -, -, -, -, -, C, -, -, -, A, D, -,36      ,72    
46  號,學生答案  , -, -, -, -, -, -, C, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, B, A, -, -, -, -, -, -, -, -, -, A, D, -,45      ,90    
47  號,學生答案  , -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, B, -, -, -, -, -, -, -, -, -, -, -, A, -, -, -, -, -, -, A, -, -, -, A, -, -, A, -, -, -, -, -,45      ,90    
\     ,答錯人數  ,00,09,04,01,00,02,09,04,01,03,16,00,09,09,02,06,11,10,03,03,01,04,02,01,09,00,08,08,04,03,01,02,04,05,01,02,16,16,12,00,14,04,01,01,04,02,10,11,17,03,平均    ,88.6  
      ,          ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,最高分  ,100   
      ,          ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,最低分  ,40    
