\     ,標準答案  , A, D, C, A, B, C, C, A, B, C, B, B, C, A, B, A, D, B, A, A, C, A, B, A, D, B, B, B, B, A, D, B, A, B, C, C, C, C, B, A, A, D, C, A, C, D, D, B, D, C,答對題數,得分  ,符號說明,答案正確:-,答案錯誤:呈現學生答案,未作答:=
座號  ,題號      ,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,        ,      ,複選時代碼對照,A:A,B:B,C:C
test_p0-6.png號,學生答案  , -, -, -, -, -, -, -, C, -, -, -, -, -, -, -, D, -, -, D, B, A, -, -, -, -, -, -, A, -, -, -, -, -, -, -, -, -, B, D, -, -, -, -, -, D, C, -, -, -, -,40      ,80    ,D:D,F:AB,G:AC,H:AD
test_p1-11.png號,學生答案  , C, -, -, -, -, -, -, -, -, -, -, -, -, -, -, C, -, -, D, -, -, C, -, -, -, -, -, -, -, -, -, -, -, -, -, -, D, -, -, -, -, -, -, -, B, -, -, -, -, -,44      ,88    ,J:BC,K:BD,M:CD,P:ABC
test_p10-56.png號,學生答案  , -, -, -, -, -, -, -, B, -, A, -, -, -, -, -, -, A, -, B, -, -, B, -, C, -, -, -, -, -, -, -, -, -, -, -, -, B, -, -, -, -, -, D, -, -, -, C, -, C, -,40      ,80    ,Q:ABD,S:ACD,V:BCD,Z:ABCD
test_p11-61.png號,學生答案  , C, B, -, -, -, -, -, C, -, -, -, D, -, -, -, -, A, -, C, -, A, -, -, -, -, -, -, -, D, D, -, -, -, -, -, -, -, -, -, -, C, -, A, -, D, -, -, -, C, -,37      ,74    
test_p21-111.png號,學生答案  , C, -, -, B, -, -, -, D, -, -, -, -, -, -, -, -, -, -, -, B, -, C, -, C, -, -, -, A, D, -, -, -, -, -, -, -, -, -, -, B, -, -, -, -, -, -, -, -, -, -,41      ,82    
test_p22-116.png號,學生答案  , C, -, -, -, C, -, B, C, C, -, -, C, A, -, -, -, -, -, D, -, D, B, -, C, -, -, -, A, D, -, -, -, -, C, -, -, -, -, -, -, -, -, -, -, -, -, -, C, C, -,34      ,68    
test_p23-121.png號,學生答案  , C, -, -, D, A, -, B, B, -, B, A, D, A, -, -, C, A, -, -, B, D, D, -, C, -, A, -, H, C, -, C, A, B, G, A, -, B, B, A, B, -, A, D, D, A, -, C, =, M, B,15      ,30    
test_p24-126.png號,學生答案  , C, -, -, C, -, A, D, D, -, -, -, A, A, -, -, C, A, D, C, -, B, C, -, C, -, -, -, -, A, -, B, D, -, -, -, A, B, B, -, B, D, -, D, -, -, C, C, -, -, D,24      ,48    
test_p25-131.png號,學生答案  , B, C, A, C, -, B, B, B, -, B, -, -, B, B, -, B, B, -, B, B, B, B, -, =, =, -, -, -, -, B, B, -, B, -, B, B, B, B, -, B, =, J, D, C, B, A, B, C, -, -,16      ,32    
test_p26-136.png號,學生答案  , C, -, -, -, -, -, -, G, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, A, A, -, -, A, D, -, D, -, A, B, B, -, -, C, -, A, -, -, A, -, C, -, B,35      ,70    
test_p27-141.png號,學生答案  , -, -, -, -, A, -, -, -, -, -, -, D, -, -, -, -, A, D, B, -, -, B, -, -, -, -, -, A, D, -, A, -, -, -, -, -, D, -, -, D, -, -, B, -, -, -, C, A, -, -,36      ,72    
test_p28-146.png號,學生答案  , -, B, -, -, -, -, -, C, -, D, D, A, -, -, -, -, B, -, D, -, -, B, A, -, -, -, -, A, A, -, -, -, -, -, -, -, B, D, -, -, -, -, D, -, -, -, -, -, -, -,36      ,72    
test_p29-151.png號,學生答案  , C, -, -, C, -, -, -, -, -, -, -, C, -, -, D, -, -, -, C, -, A, B, -, C, -, -, D, -, -, -, -, -, -, -, -, -, -, -, -, -, -, A, D, C, A, C, -, -, -, -,36      ,72    
test_p3-21.png號,學生答案  , C, -, -, -, -, -, -, D, C, B, -, D, -, -, -, C, B, -, C, -, B, B, -, C, -, =, -, -, -, -, -, -, -, -, -, -, B, -, -, -, -, -, -, -, D, C, -, C, -, -,34      ,68    
test_p30-156.png號,學生答案  , C, -, -, D, -, -, -, C, -, D, -, -, -, -, -, -, -, -, B, -, -, B, -, C, -, -, -, A, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, B, -, -, -, -, -,41      ,82    
test_p31-161.png號,學生答案  , B, -, -, C, -, A, -, -, -, A, A, C, -, -, -, C, B, -, D, B, A, D, -, -, -, -, -, D, -, D, -, -, -, -, -, -, -, -, -, -, -, -, B, -, -, -, -, C, C, -,33      ,66    
test_p32-166.png號,學生答案  , -, -, -, C, -, -, -, D, -, -, -, C, A, -, -, D, B, -, D, -, -, -, -, -, -, -, -, A, D, -, -, -, -, -, -, A, B, -, -, -, D, -, -, -, -, -, B, -, -, B,36      ,72    
test_p33-171.png號,學生答案  , C, -, -, C, -, D, -, -, -, -, -, A, -, -, -, C, -, D, -, B, -, D, D, C, -, =, =, =, =, =, =, =, =, =, =, =, =, =, =, =, =, =, =, =, =, =, =, =, =, =,15      ,30    
test_p34-176.png號,學生答案  , C, -, -, C, -, -, M, D, -, -, -, D, -, -, -, C, -, -, D, B, A, D, -, D, -, -, -, -, D, -, -, -, -, -, -, D, B, D, D, -, -, -, -, C, B, B, B, -, -, -,30      ,60    
test_p35-181.png號,學生答案  , -, -, -, -, -, -, -, D, -, D, -, D, -, -, -, -, C, -, D, B, D, B, C, C, -, -, -, -, C, -, -, -, -, -, -, -, -, -, -, -, -, -, D, -, -, C, -, -, -, H,36      ,72    
test_p36-186.png號,學生答案  , C, -, -, B, A, -, -, -, -, -, -, -, -, -, -, C, -, D, -, B, -, B, -, D, -, A, -, -, -, B, -, D, -, -, -, A, -, -, -, B, -, -, -, -, -, -, -, -, -, -,37      ,74    
test_p37-191.png號,學生答案  , -, -, -, -, -, -, -, -, -, -, -, C, -, -, -, -, B, C, -, -, D, D, -, D, -, -, -, A, -, -, A, F, -, -, -, -, -, B, -, B, B, -, -, -, -, -, C, -, -, -,37      ,74    
test_p38-196.png號,學生答案  , -, -, -, -, -, -, G, -, -, -, -, C, -, -, -, -, -, -, -, -, -, D, -, C, -, -, -, A, A, -, -, -, -, C, -, -, -, -, -, D, D, C, -, -, D, -, -, -, -, -,39      ,78    
test_p39-201.png號,學生答案  , C, -, -, -, -, A, -, -, -, -, -, -, A, C, -, -, B, -, C, -, -, K, D, D, =, -, -, A, -, -, C, D, -, -, -, A, -, -, -, -, -, -, B, -, A, -, C, A, B, A,30      ,60    
test_p4-26.png號,學生答案  , C, -, -, C, -, -, -, D, -, D, -, D, -, -, -, -, -, -, -, -, -, C, -, C, -, -, -, A, -, -, -, -, -, -, -, -, -, D, -, -, -, -, -, -, -, -, -, -, -, -,41      ,82    
test_p40-206.png號,學生答案  , -, -, -, C, -, -, -, -, -, -, -, -, -, -, -, -, -, -, C, -, -, -, -, -, -, -, -, -, -, -, -, D, -, -, -, -, D, -, -, -, -, -, -, -, A, -, -, -, -, -,45      ,90    
test_p41-211.png號,學生答案  , -, C, -, B, D, A, B, C, A, -, -, D, A, C, -, B, B, D, D, D, -, B, -, -, A, -, -, C, C, B, A, -, -, C, -, D, B, B, -, -, C, C, B, -, B, C, C, -, C, -,18      ,36    
test_p42-216.png號,學生答案  , C, -, -, D, -, A, -, C, -, -, -, C, -, -, -, -, -, -, D, -, A, B, -, C, C, C, A, A, -, -, A, -, -, A, A, A, -, -, -, -, -, -, -, -, A, A, C, C, B, -,28      ,56    
test_p43-221.png號,學生答案  , C, -, B, D, -, -, D, C, -, D, -, A, -, -, -, -, B, D, -, -, -, -, -, C, -, -, -, A, -, B, A, C, -, -, -, -, -, -, -, -, B, -, -, D, D, -, -, -, B, -,32      ,64    
test_p44-226.png號,學生答案  , C, B, -, C, -, -, -, C, -, D, -, -, -, -, -, -, -, -, D, -, -, B, -, C, -, -, -, -, -, -, -, -, -, -, -, -, -, B, A, B, -, A, -, -, D, A, C, D, C, -,33      ,66    
test_p45-231.png號,學生答案  , C, -, -, -, -, -, -, -, -, A, -, D, A, -, -, C, B, -, -, -, B, C, -, -, -, -, -, -, -, -, -, -, -, -, -, -, B, -, -, D, B, -, -, -, -, -, -, -, -, -,39      ,78    
test_p46-236.png號,學生答案  , C, -, -, C, -, -, -, D, -, B, -, C, -, -, -, -, -, -, C, -, -, D, -, -, -, D, -, C, A, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, C, C, A, -, -,37      ,74    
test_p5-31.png號,學生答案  , C, -, -, -, -, -, B, B, -, D, -, -, -, -, -, -, B, -, D, B, -, B, -, C, -, -, -, D, C, -, -, C, -, -, -, -, B, -, -, -, -, -, -, -, A, -, -, -, -, -,36      ,72    
test_p6-36.png號,學生答案  , C, -, -, D, A, -, =, D, -, -, -, C, A, -, -, -, -, -, D, -, -, B, -, C, -, -, -, A, -, -, =, =, =, =, -, =, -, -, C, -, -, C, D, B, D, A, -, C, B, -,26      ,52    
test_p7-41.png號,學生答案  , C, -, B, -, -, -, -, C, -, -, -, -, -, -, -, -, -, -, B, -, B, B, -, C, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, D, -, -, -, -, -, C, -, B, -,40      ,80    
test_p8-46.png號,學生答案  , -, -, -, -, -, A, B, D, -, B, -, -, -, -, -, C, -, -, D, -, -, B, -, C, -, -, -, A, -, -, B, D, -, -, -, A, D, D, -, -, B, -, -, -, B, C, C, -, -, -,32      ,64    
test_p9-51.png號,學生答案  , C, -, -, -, -, -, -, -, -, -, D, -, -, -, -, -, B, -, D, B, D, B, -, -, -, -, -, A, -, -, A, D, -, -, -, -, -, -, -, -, -, -, -, -, A, -, -, A, -, -,38      ,76    
\     ,答錯人數  ,32,05,04,24,07,09,15,31,04,20,05,28,10,03,02,20,23,08,37,14,18,38,05,28,05,08,05,31,19,07,14,15,04,10,04,12,18,15,06,12,13,09,18,07,23,18,21,19,17,09,平均    ,69.0  
      ,          ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,最高分  ,90    
      ,          ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,最低分  ,30    
